Date,Description,Debit Amt,Credit Amt,Balance
01-08-2024,Rent Payment,1952.3,,3047.7
02-08-2024,Electricity Bill Payment,1802.74,,1244.96
03-08-2024,Online Shopping,,3680.5,4925.46
04-08-2024,Grocery Store Purchase,,2431.76,7357.22
05-08-2024,Grocery Store Purchase,1386.25,,5970.97
06-08-2024,Online Shopping,,4746.06,10717.03
07-08-2024,Mobile Recharge,,4659.65,15376.68
08-08-2024,Credit Card Payment,,1247.1,16623.78
09-08-2024,Mobile Recharge,998.64,,15625.14
10-08-2024,Credit Card Payment,,2661.39,18286.53
11-08-2024,Grocery Store Purchase,,3095.87,21382.4
12-08-2024,Grocery Store Purchase,,1129.96,22512.36
13-08-2024,ATM Withdrawal,,1794.74,24307.1
14-08-2024,Mobile Recharge,,2781.17,27088.27
15-08-2024,ATM Withdrawal,651.11,,26437.16
16-08-2024,Mobile Recharge,1980.37,,24456.79
17-08-2024,Mobile Recharge,,4763.55,29220.34
18-08-2024,ATM Withdrawal,473.3,,28747.04
19-08-2024,Credit Card Payment,,2399.36,31146.4
20-08-2024,Rent Payment,,4145.94,35292.34
21-08-2024,Grocery Store Purchase,,3142.54,38434.88
22-08-2024,Grocery Store Purchase,,3755.24,42190.12
23-08-2024,Fund Transfer,,3957.28,46147.4
24-08-2024,Electricity Bill Payment,,3728.35,49875.75
25-08-2024,Mobile Recharge,1135.46,,48740.29
26-08-2024,ATM Withdrawal,,1940.79,50681.08
27-08-2024,Grocery Store Purchase,1822.15,,48858.93
28-08-2024,Grocery Store Purchase,1746.43,,47112.5
29-08-2024,Salary Credit SBI Pvt Ltd,185.7,,46926.8
30-08-2024,Salary Credit SBI Pvt Ltd,,3793.24,50720.04
31-08-2024,ATM Withdrawal,838.3,,49881.74
01-09-2024,Rent Payment,232.48,,49649.26
02-09-2024,Rent Payment,,2662.7,52311.96
03-09-2024,Salary Credit SBI Pvt Ltd,1238.33,,51073.63
04-09-2024,Rent Payment,861.92,,50211.71
05-09-2024,Online Shopping,1834.75,,48376.96
06-09-2024,IMPS UPI Payment Amazon,1287.78,,47089.18
07-09-2024,Electricity Bill Payment,,2913.93,50003.11
08-09-2024,Electricity Bill Payment,,1054.56,51057.67
09-09-2024,Mobile Recharge,,2289.04,53346.71
10-09-2024,IMPS UPI Payment Amazon,,2356.36,55703.07
11-09-2024,ATM Withdrawal,,1660.59,57363.66
12-09-2024,IMPS UPI Payment Amazon,,4440.09,61803.75
13-09-2024,ATM Withdrawal,,1146.14,62949.89
14-09-2024,Rent Payment,,2499.92,65449.81
15-09-2024,ATM Withdrawal,,4945.81,70395.62
16-09-2024,Mobile Recharge,1760.3,,68635.32
17-09-2024,Rent Payment,,2114.01,70749.33
18-09-2024,Rent Payment,715.29,,70034.04
19-09-2024,Fund Transfer,863.83,,69170.21
20-09-2024,Credit Card Payment,121.57,,69048.64
21-09-2024,Credit Card Payment,,4213.95,73262.59
22-09-2024,Electricity Bill Payment,1190.49,,72072.1
23-09-2024,Grocery Store Purchase,271.94,,71800.16
24-09-2024,Mobile Recharge,,2675.2,74475.36
25-09-2024,ATM Withdrawal,,4688.49,79163.85
26-09-2024,Salary Credit SBI Pvt Ltd,174.43,,78989.42
27-09-2024,Credit Card Payment,1658.83,,77330.59
28-09-2024,Salary Credit SBI Pvt Ltd,794.84,,76535.75
29-09-2024,ATM Withdrawal,1791.23,,74744.52
30-09-2024,IMPS UPI Payment Amazon,1307.41,,73437.11
01-10-2024,IMPS UPI Payment Amazon,,1159.22,74596.33
02-10-2024,Online Shopping,926.59,,73669.74
03-10-2024,Rent Payment,1591.79,,72077.95
04-10-2024,IMPS UPI Payment Amazon,1960.95,,70117.0
05-10-2024,Grocery Store Purchase,,4845.09,74962.09
06-10-2024,Credit Card Payment,1772.02,,73190.07
07-10-2024,Electricity Bill Payment,1022.57,,72167.5
08-10-2024,Fund Transfer,771.31,,71396.19
09-10-2024,Salary Credit SBI Pvt Ltd,,1479.19,72875.38
10-10-2024,Mobile Recharge,,2536.72,75412.1
11-10-2024,Rent Payment,1455.77,,73956.33
12-10-2024,Mobile Recharge,,1240.08,75196.41
13-10-2024,Rent Payment,1165.62,,74030.79
14-10-2024,Online Shopping,,4004.21,78035.0
15-10-2024,Rent Payment,855.66,,77179.34
16-10-2024,Salary Credit SBI Pvt Ltd,1037.4,,76141.94
17-10-2024,Fund Transfer,,3510.38,79652.32
18-10-2024,ATM Withdrawal,677.51,,78974.81
19-10-2024,Salary Credit SBI Pvt Ltd,,1524.63,80499.44
20-10-2024,Rent Payment,1993.71,,78505.73
21-10-2024,Electricity Bill Payment,,1787.17,80292.9
22-10-2024,Credit Card Payment,1888.36,,78404.54
23-10-2024,Rent Payment,,3837.17,82241.71
24-10-2024,ATM Withdrawal,533.6,,81708.11
25-10-2024,Fund Transfer,,4052.11,85760.22
26-10-2024,Online Shopping,,4011.39,89771.61
27-10-2024,Online Shopping,811.84,,88959.77
28-10-2024,Rent Payment,621.83,,88337.94
29-10-2024,Grocery Store Purchase,,3707.89,92045.83
30-10-2024,Salary Credit SBI Pvt Ltd,,2264.94,94310.77
31-10-2024,ATM Withdrawal,,1459.09,95769.86
01-11-2024,Rent Payment,1615.73,,94154.13
